layer,valid_mean,valid_std,valid_ci_upper,valid_ci_lower,invalid_mean,invalid_std,invalid_ci_upper,invalid_ci_lower
0,0.537220385554549,0.055499842559249946,0.5927202281137989,0.48172054299529904,0.4317416778206825,0.054190822933261946,0.48593250075394445,0.3775508548874206
1,0.7126116218504968,0.022142019042626974,0.7347536408931238,0.6904696028078697,0.6726792345444361,0.023361542054397992,0.6960407765988341,0.6493176924900381
2,0.734886549509965,0.018481044865874405,0.7533675943758394,0.7164055046440906,0.7111091844240824,0.022722835169248935,0.7338320195933313,0.6883863492548336
3,0.6831600669916574,0.01977092187494138,0.7029309888665988,0.6633891451167161,0.6523313208421071,0.021560370063765658,0.6738916909058728,0.6307709507783414
4,0.5812751271507957,0.026186873054710565,0.6074620002055062,0.5550882540960851,0.5500187854965528,0.027237757674969543,0.5772565431715223,0.5227810278215833
5,0.5385962533099311,0.03354645777018795,0.572142711080119,0.5050497955397432,0.4913835948705673,0.03495995050553832,0.5263435453761056,0.456423644365029
6,0.4553552268000392,0.02484372367750338,0.4801989504775426,0.43051150312253583,0.4184737657507261,0.030790512314018772,0.44926427806474484,0.38768325343670734
7,0.4805291544694405,0.03384483431083188,0.5143739887802724,0.4466843201586086,0.4302192644278208,0.03890589395766312,0.46912515838548396,0.3913133704701577
8,0.4549401239915328,0.03278598229982278,0.48772610629135554,0.42215414169171,0.4025292891263962,0.04027596174980001,0.4428052508761962,0.36225332737659616
9,0.41740037539562624,0.027973492285173377,0.4453738676807996,0.38942688311045287,0.37686106622219084,0.03493618428067475,0.4117972505028656,0.3419248819415161
10,0.5418229366277719,0.03781428678019299,0.5796372234079649,0.504008649847579,0.48553637822469076,0.041409754190469744,0.5269461324151605,0.444126624034221
11,0.6433562547355504,0.02396138031288434,0.6673176350484347,0.619394874422666,0.6047002865870794,0.03167271549061053,0.63637300207769,0.5730275710964688
12,0.5803579707424362,0.027555947722211427,0.6079139184646476,0.5528020230202249,0.5614378253618876,0.026261374307677256,0.5876991996695649,0.5351764510542103
13,0.6430212754707831,0.019560881245472173,0.6625821567162553,0.623460394225311,0.6229812043905258,0.02001708562566322,0.642998290016189,0.6029641187648627
14,0.6182826691633695,0.022644817383359172,0.6409274865467287,0.5956378517800103,0.6009319015343983,0.022835557783212997,0.6237674593176114,0.5780963437511853
15,0.5466624664795863,0.01805230694509279,0.564714773424679,0.5286101595344935,0.5400581960876782,0.01948186994750169,0.5595400660351799,0.5205763261401766
