layer,valid_mean,valid_std,valid_ci_upper,valid_ci_lower,invalid_mean,invalid_std,invalid_ci_upper,invalid_ci_lower
0,0.6590659374540503,0.0310464075527209,0.6901123450067712,0.6280195299013294,0.6022758664687474,0.029505764174227008,0.6317816306429744,0.5727701022945204
1,0.7103532347586248,0.021987277800457755,0.7323405125590825,0.688365956958167,0.6639499163627625,0.02319038820433387,0.6871403045670963,0.6407595281584286
2,0.8335142054341056,0.013306460463337713,0.8468206658974433,0.8202077449707679,0.8209030201037725,0.01596734411429102,0.8368703642180635,0.8049356759894815
3,0.7713402231018265,0.006460159069048787,0.7778003821708752,0.7648800640327778,0.7704875659942627,0.008569846211855645,0.7790574122061183,0.7619177197824071
4,0.7425866866266573,0.013011428985672643,0.7555981156123299,0.7295752576409846,0.7221764129400253,0.019735450497921934,0.7419118634379472,0.7024409624421034
5,0.6969483603130687,0.012708487597227296,0.709656847910296,0.6842398727158414,0.6874973581234614,0.018868572918910455,0.7063659310423718,0.6686287852045509
6,0.6303755083641449,0.024016984085121665,0.6543924924492666,0.6063585242790233,0.6045873242616654,0.02585116733481784,0.6304384915964832,0.5787361569268475
7,0.6091336991105761,0.025510448596202787,0.6346441477067789,0.5836232505143734,0.585596824089686,0.029503117968922996,0.6150999420586091,0.556093706120763
8,0.5352084532186583,0.0202387759061865,0.5554472291248448,0.5149696773124718,0.5145230878392856,0.027451870114901463,0.541974957954187,0.4870712177243841
9,0.5391796459625293,0.029407920865298642,0.568587566827828,0.5097717250972307,0.5184264157215754,0.02886714028946038,0.5472935560110358,0.4895592754321151
10,0.4830803472500343,0.029266662698715525,0.5123470099487498,0.45381368455131876,0.4422185382246971,0.0327058418074753,0.4749243800321724,0.40951269641722177
11,0.47298197951409726,0.039868881267952246,0.5128508607820496,0.433113098246145,0.44409003138542175,0.03422316361859102,0.47831319500401276,0.40986686776683073
12,0.45943531819752287,0.041371497334809756,0.5008068155323326,0.4180638208627131,0.4248590514063835,0.03887830639232277,0.4637373577987063,0.38598074501406077
13,0.3508749584873001,0.034672097323299615,0.3855470558105997,0.3162028611640005,0.32071807463963825,0.037872532392932624,0.3585906070325709,0.2828455422467056
14,0.39439682933417236,0.04459706124319375,0.4389938905773661,0.3497997680909786,0.3651691994071007,0.04077626504667846,0.40594546445377916,0.3243929343604222
15,0.42797827372303254,0.04187034560253738,0.4698486193255699,0.38610792812049516,0.4084198827544848,0.03753486278454079,0.4459547455390256,0.37088501996994405
16,0.3726552978351519,0.04545635858266334,0.4181116564178152,0.32719893925248855,0.3642146650950114,0.042035467703957184,0.40625013279896854,0.3221791973910542
17,0.4016375913248434,0.02869789485033919,0.4303354861751826,0.3729396964745042,0.38347920328378676,0.030741983402216264,0.41422118668600305,0.3527372198815705
18,0.4578220344983138,0.03330795851609002,0.49112999301440385,0.4245140759822238,0.44046204845110576,0.03480288983809337,0.47526493828919913,0.4056591586130124
19,0.524400795241455,0.025591063192968822,0.5499918584344238,0.49880973204848617,0.5028990456461906,0.031648560897058586,0.5345476065432492,0.471250484749132
20,0.5405368576576184,0.03126796997768712,0.5718048276353055,0.5092688876799313,0.5220591840147972,0.03225012930924881,0.554309313324046,0.4898090547055484
21,0.6217864566035085,0.027476343913443214,0.6492628005169517,0.5943101126900653,0.6092409712076187,0.025938385828284047,0.6351793570359027,0.5833025853793347
22,0.6912216331277575,0.01885072764607419,0.7100723607738317,0.6723709054816833,0.6855852588017781,0.02097525138881204,0.7065605101905902,0.664610007412966
23,0.6422967721115459,0.02374696089402329,0.6660437330055692,0.6185498112175226,0.6188334838549296,0.026586992119438147,0.6454204759743678,0.5922464917354915
24,0.6687439548504817,0.0202033036293748,0.6889472584798565,0.6485406512211068,0.6559918216864268,0.02141898733497285,0.6774108090213996,0.634572834351454
25,0.6873477991525229,0.017053858238979598,0.7044016573915025,0.6702939409135432,0.6760169772307077,0.020670372609140914,0.6966873498398487,0.6553466046215668
26,0.6436118177779309,0.02380143411204691,0.6674132518899778,0.6198103836658839,0.6423159408569336,0.023386749339802396,0.665702690196736,0.6189291915171311
27,0.6936267478899523,0.013272610735029517,0.7068993586249818,0.6803541371549228,0.6864756115277608,0.022424641672989513,0.7089002532007503,0.6640509698547713
28,0.5717980223042625,0.020449168076345378,0.5922471903806078,0.5513488542279171,0.5634582366545995,0.02268223846693879,0.5861404751215383,0.5407759981876606
29,0.5742341740564867,0.01568864915074509,0.5899228232072318,0.5585455249057416,0.5747430340449016,0.016357063000890265,0.5911000970457918,0.5583859710440113
30,0.46662030552888845,0.0250595242712355,0.4916798298001239,0.44156078125765297,0.4448430840174357,0.024302297513324966,0.4691453815307607,0.42054078650411075
31,0.4499986173657628,0.014640029851192582,0.46463864721695536,0.43535858751457024,0.4490990814566612,0.021105361807487323,0.47020444326414856,0.4279937196491739
