layer,valid_mean,valid_std,valid_ci_upper,valid_ci_lower,invalid_mean,invalid_std,invalid_ci_upper,invalid_ci_lower
0,0.22782386389452142,0.0796806819573354,0.3075045458518568,0.148143181937186,0.39369694034258523,0.08931754467570595,0.4830144850182912,0.30437939566687927
1,0.008244346875648994,0.0016758765306039436,0.009920223406252938,0.0065684703450450506,0.01104427904356271,0.0026132973217776463,0.013657576365340356,0.008430981721785063
2,0.051767148730623255,0.021258695728675413,0.07302584445929866,0.030508453001947843,0.030955975241959095,0.013360886014241452,0.044316861256200546,0.017595089227717645
3,0.03788871533394634,0.013787904068441329,0.05167661940238767,0.02410081126550501,0.02155201692134142,0.008476376592827937,0.030028393514169357,0.013075640328513483
4,0.054683572394991074,0.014692927968625152,0.06937650036361623,0.03999064442636592,0.04014844130103787,0.008957888241308552,0.04910632954234642,0.031190553059729315
5,0.06487915033547136,0.013616961765430424,0.07849611210090178,0.05126218857004093,0.051569253696749605,0.01093886165722348,0.06250811535397309,0.04063039203952613
6,0.06329828408824933,0.00767816573706968,0.07097644982531902,0.05562011835117965,0.06515612911432982,0.007163111184431805,0.07231924029876162,0.057993017929898014
7,0.06648451266447444,0.011241556038234044,0.07772606870270848,0.0552429566262404,0.06223103939245145,0.010203389112170887,0.07243442850462234,0.05202765028028056
8,0.08855796624700744,0.010725641172046396,0.09928360741905384,0.07783232507496105,0.1125316200653712,0.018675687834763033,0.13120730790013424,0.09385593223060816
9,0.12278870478659482,0.024076601998045895,0.14686530678464071,0.09871210278854892,0.11162998867531618,0.0197501993645764,0.13138018803989257,0.09187978931073978
10,0.10625937382702703,0.014169726234073554,0.1204291000611006,0.09208964759295347,0.13370553637544313,0.0187606877226156,0.15246622409805874,0.11494484865282753
11,0.12255399828994429,0.012588245884718,0.13514224417466228,0.10996575240522628,0.14157584900657336,0.01935306171430844,0.1609289107208818,0.12222278729226492
12,0.122181735932827,0.014781760654831822,0.13696349658765883,0.10739997527799518,0.12654167818526427,0.015816017790697395,0.14235769597596165,0.11072566039456687
13,0.14379450606254787,0.02282420406150704,0.1666187101240549,0.12097030200104084,0.1811059968918562,0.02290650666832288,0.20401250356017908,0.1581994902235333
14,0.1412368497581451,0.01648058664436623,0.15771743640251132,0.12475626311377887,0.15413976773619653,0.019299427074025554,0.17343919481022207,0.134840340662171
15,0.11792805166794108,0.01716819847750042,0.1350962501454415,0.10075985319044066,0.12165112905204296,0.016675132946386867,0.13832626199842984,0.1049759961056561
16,0.11026251190281533,0.016342485023805,0.12660499692662033,0.09392002687901033,0.11601495747764905,0.01822819759181017,0.13424315506945922,0.09778675988583888
17,0.09160833263939078,0.010750286461587391,0.10235861910097817,0.08085804617780339,0.11687535561621189,0.01594909426498533,0.1328244498811972,0.10092626135122656
18,0.13683795614482522,0.01687555555381842,0.15371351169864364,0.1199624005910068,0.1461900807917118,0.018811934523953012,0.16500201531566483,0.12737814626775879
19,0.0918597210343782,0.02737942255211831,0.11923914358649651,0.06448029848225989,0.14217672149340313,0.03532822718747456,0.17750494868087768,0.10684849430592858
20,0.11884660733404098,0.02970998969373418,0.14855659702777516,0.08913661764030681,0.16964978203177453,0.03791169893049361,0.20756148096226815,0.1317380831012809
21,0.10810911626397789,0.03670995642385918,0.14481907268783706,0.07139915984011871,0.1803731955587864,0.04885618839429359,0.22922938395307998,0.1315170071644928
22,0.10353666210135856,0.044636753916047996,0.14817341601740655,0.058899908185310566,0.1902955044557651,0.057041562177506486,0.2473370666332716,0.1332539422782586
23,0.10325358941086701,0.04826078985291907,0.15151437926378608,0.05499279955794795,0.20005722865462303,0.06328457114844503,0.26334179980306804,0.136772657506178
24,0.11169411251684289,0.050194871981112735,0.16188898449795563,0.06149924053573015,0.2153433317442735,0.0650757944973619,0.2804191262416354,0.1502675372469116
25,0.1222992677773748,0.045891437790009815,0.16819070556738464,0.07640782998736499,0.22043459919591746,0.06183648952319103,0.2822710887191085,0.15859810967272642
26,0.12382639417207086,0.04441863864927719,0.16824503282134806,0.07940775552279367,0.21741513905425866,0.06109684783990586,0.2785119868941645,0.1563182912143528
27,0.11576683243567293,0.05981503765356292,0.17558187008923584,0.05595179478211001,0.2431201128164927,0.07795568192677249,0.3210757947432652,0.16516443088972022
28,0.16138946245630065,0.04533888520203211,0.20672834765833276,0.11605057725426854,0.26230938916405044,0.05846018442166776,0.3207695735857182,0.2038492047423827
29,0.16402561933576287,0.058012790777520216,0.2220384101132831,0.10601282855824265,0.3012120592345794,0.07837612842487744,0.37958818765945684,0.22283593080970193
30,0.22744674816147073,0.030839303079793337,0.2582860512412641,0.19660744508167738,0.30686409135659537,0.048422860929324116,0.3552869522859195,0.25844123042727124
31,0.2502642162627988,0.02092874408692178,0.2711929603497206,0.22933547217587705,0.28381077220042544,0.035321533073649346,0.31913230527407477,0.2484892391267761
