layer,valid_mean,valid_std,valid_ci_upper,valid_ci_lower,invalid_mean,invalid_std,invalid_ci_upper,invalid_ci_lower
0,0.026994638444323624,0.013507111807852523,0.040501750252176144,0.013487526636471101,0.01586943858070299,0.012788542642012476,0.028657981222715463,0.0030808959386905126
1,0.17620390382680026,0.06356146801563996,0.23976537184244023,0.1126424358111603,0.2843539661852022,0.0938184187320138,0.378172384917216,0.1905355474531884
2,0.01539180326871211,0.012360716858090063,0.027752520126802176,0.0030310864106220473,0.009543134873577703,0.008827781154487712,0.018370916028065416,0.0007153537190899908
3,0.03905131048583365,0.03316350874146939,0.07221481922730304,0.005887801744364263,0.09425504766404628,0.0619142599321202,0.15616930759616648,0.032340787731926085
4,0.04536049276614537,0.04046519478259012,0.08582568754873549,0.004895297983555251,0.10762430988873045,0.0722301245632035,0.17985443445193394,0.03539418532552695
5,0.027664318057865678,0.016171462860036654,0.04383578091790233,0.011492855197829024,0.04808940160709123,0.0256947831912162,0.07378418479830742,0.022394618415875027
6,0.026354272565622994,0.007322511448387488,0.03367678401401048,0.019031761117235507,0.03467743434943259,0.009478750092395965,0.044156184441828554,0.02519868425703662
7,0.033392205314299504,0.02221402333702355,0.05560622865132306,0.011178181977275953,0.046761456814905004,0.022561466910328908,0.06932292372523391,0.024199989904576096
8,0.03357325266901549,0.008765760897400613,0.0423390135664161,0.024807491771614874,0.04771998984739184,0.01228239592125611,0.06000238576864795,0.035437593926135734
9,0.0504308927852612,0.015325328680531188,0.0657562214657924,0.035105564104730015,0.07486736225585143,0.01781324672150047,0.09268060897735189,0.05705411553435096
10,0.048956329414209764,0.01955460905088484,0.0685109384650946,0.029401720363324925,0.07993589048584303,0.022320401890169265,0.10225629237601229,0.05761548859567377
11,0.06630324531201419,0.023772865810265605,0.0900761111222798,0.04253037950174858,0.10745210635165374,0.027239553808369947,0.13469166016002368,0.0802125525432838
12,0.06389438339158313,0.02646180404208668,0.0903561874336698,0.037432579349496446,0.11290726249416669,0.03418571767396387,0.14709298016813055,0.07872154482020283
13,0.06533849495765451,0.041953204026240795,0.1072916989838953,0.023385290931413713,0.13323457084596158,0.04392061834727281,0.1771551891932344,0.08931395249868876
14,0.08532899059355259,0.030941816624836183,0.11627080721838877,0.05438717396871641,0.1528201369072,0.043802546723528304,0.19662268363072832,0.1090175901836717
15,0.08695914697918025,0.039994935291388554,0.1269540822705688,0.0469642116877917,0.15665205589185158,0.04482399347992875,0.20147604937178032,0.11182806241192284
16,0.0874111492960871,0.043602651509335066,0.1310138008054222,0.04380849778675204,0.17818561054766177,0.05557356856222619,0.23375917910988797,0.12261204198543557
17,0.08893851865711924,0.053201325455832664,0.1421398441129519,0.03573719320128658,0.20839708576599758,0.07245719486169465,0.28085428062769224,0.13593989090430292
18,0.11502166595551874,0.0607314671052446,0.17575313306076334,0.05429019885027414,0.25566415234158435,0.08287020705592031,0.33853435939750465,0.17279394528566405
19,0.1187414757955771,0.06157231597181233,0.18031379176738943,0.057169159823764776,0.26662729620933534,0.08501576949943478,0.35164306570877013,0.18161152670990055
20,0.13709116565039406,0.07750735068782684,0.2145985163382209,0.05958381496256722,0.31481835935264824,0.0994642174714441,0.4142825768240923,0.21535414188120414
21,0.15867332073968726,0.0954587876517991,0.25413210839148637,0.06321453308788816,0.3643793186545372,0.11488372340508422,0.47926304205962145,0.24949559524945297
22,0.16821565788674664,0.09720740080514434,0.265423058691891,0.0710082570816023,0.38505110909541446,0.11866835265949686,0.5037194617549113,0.2663827564359176
23,0.2058293606069955,0.10523009504839784,0.31105945565539334,0.10059926555859766,0.43418228487173716,0.12490895602258752,0.5590912408943247,0.30927332884914965
24,0.24275963027755937,0.10820364645891505,0.3509632767364744,0.1345559838186443,0.4787278983741999,0.12541657824190802,0.6041444766161079,0.35331132013229183
25,0.2812323167726591,0.1147986736214239,0.39603099039408296,0.16643364315123518,0.5182318855325381,0.12181540327240425,0.6400472888049423,0.3964164822601338
26,0.30839680028813227,0.1061686934014807,0.414565493689613,0.20222810688665155,0.5202905931572119,0.1066166404764004,0.6269072336336123,0.41367395268081153
27,0.34052254317642805,0.1038044646681412,0.44432700784456924,0.23671807850828686,0.5487475352485974,0.10427247276318988,0.6530200080117873,0.4444750624854076
28,0.3743250490009011,0.09961176245141909,0.47393681145232014,0.274713286549482,0.5505324521660805,0.08677489154255336,0.6373073437086338,0.46375756062352713
29,0.5035548130800198,0.049635725217582236,0.553190538297602,0.45391908786243756,0.5552506443858146,0.0480989340105936,0.6033495783964082,0.507151710375221
30,0.6254154857877013,0.03919072923312895,0.6646062150208303,0.5862247565545724,0.6814656500021616,0.03756596087800519,0.7190316108801669,0.6438996891241564
31,0.6856179372830824,0.02242192595148175,0.7080398632345641,0.6631960113316007,0.7093413684765498,0.0426948447678515,0.7520362132444013,0.6666465237086984
