layer,valid_mean,valid_std,valid_ci_upper,valid_ci_lower,invalid_mean,invalid_std,invalid_ci_upper,invalid_ci_lower
0,0.29928797284881725,0.01106792221872266,0.3103558950675399,0.2882200506300946,0.28969321079709326,0.016691031444143644,0.3063842422412369,0.2730021793529496
1,0.2981688482258526,0.019969265170586642,0.31813811339643927,0.27819958305526593,0.281150201189428,0.024034306691990515,0.30518450788141854,0.2571158944974375
2,0.572887852968793,0.01618089571904561,0.5890687486878385,0.5567069572497474,0.6033600795870891,0.01621494082079805,0.6195750204078871,0.5871451387662912
3,0.8942091024870744,0.03314038405014497,0.9273494865372194,0.8610687184369294,0.8417626128219211,0.04814276047784896,0.88990537329977,0.7936198523440722
4,0.9143463689989254,0.024578947913091308,0.9389253169120167,0.8897674210858341,0.8785501551744579,0.035388303460734745,0.9139384586351926,0.8431618517137232
5,0.8944352098035354,0.03324650645472234,0.9276817162582578,0.861188703348813,0.837521682271657,0.041914497438549005,0.879436179710206,0.795607184833108
6,0.8770560006948249,0.04036880173102082,0.9174248024258458,0.8366871989638041,0.8015055007474374,0.04867106765414999,0.8501765684015874,0.7528344330932875
7,0.8396172540099508,0.06289268542312614,0.9025099394330769,0.7767245685868247,0.7212959869606818,0.07228412479231894,0.7935801117530007,0.6490118621683628
8,0.7971370077544834,0.08341637413305636,0.8805533818875397,0.713720633621427,0.6312051660592392,0.0975595256308475,0.7287646916900866,0.5336456404283917
9,0.7893846767599003,0.08035445451874797,0.8697391312786483,0.7090302222411523,0.6307592959341836,0.09344445617611298,0.7242037521102965,0.5373148397580706
10,0.7561143091685497,0.09154750178392006,0.8476618109524697,0.6645668073846297,0.575272290811505,0.10579569611166091,0.681067986923166,0.4694765946998441
11,0.7680063522128933,0.08003573893052245,0.8480420911434157,0.6879706132823709,0.6151877997814681,0.09162026959232057,0.7068080693737887,0.5235675301891475
12,0.7234005570218501,0.09829956382882815,0.8217001208506782,0.625100993193022,0.543226905997017,0.1077738148448165,0.6510007208418335,0.43545309115220043
13,0.695799444771328,0.11109198869524357,0.8068914334665717,0.5847074560760844,0.48598597863333226,0.1230384034752161,0.6090243821085484,0.36294757515811615
14,0.7007266539002157,0.09849706320955243,0.7992237171097681,0.6022295906906633,0.492116830578894,0.11971435600443085,0.6118311865833248,0.3724024745744631
15,0.6859230441757326,0.09735683961459808,0.7832798837903306,0.5885662045611345,0.47327784311726173,0.12339529841006389,0.5966731415273256,0.3498825447071978
16,0.6496020500049063,0.11337909172972399,0.7629811417346304,0.5362229582751823,0.40212142179993665,0.14148880292658603,0.5436102247265227,0.26063261887335065
17,0.5900414917098511,0.14343313477989583,0.7334746264897469,0.44660835692995526,0.28666394764740355,0.17429886791385935,0.4609628155612629,0.1123650797335442
18,0.5828909583642525,0.139445843119625,0.7223368014838776,0.44344511524462754,0.27921343053665204,0.17071886390828597,0.449932294444938,0.10849456662836607
19,0.5319147481505987,0.1459547922413565,0.6778695403919552,0.3859599559092422,0.2134714133910791,0.17872847037191694,0.3921998837629961,0.03474294301916217
20,0.4857965198796237,0.18122692164234672,0.6670234415219705,0.304569598237277,0.09194566953048262,0.21851762357984014,0.3104632931103228,-0.1265719540493575
21,0.4562047845560793,0.1772782848825899,0.6334830694386693,0.2789264996734894,0.07219477465521557,0.20966007576933257,0.28185485042454816,-0.137465301114117
22,0.3852331628817624,0.20038656858031412,0.5856197314620766,0.18484659430144829,-0.0549067036332087,0.23835699885479852,0.18345029522158982,-0.2932637024880072
23,0.39897529973193774,0.18599283790286095,0.5849681376347987,0.2129824618290768,-0.013658607840694116,0.21893860727686237,0.20527999943616826,-0.2325972151175565
24,0.4220576204538091,0.16547195954591604,0.5875295799997251,0.2565856609078931,0.05915900795605408,0.1905655010111139,0.249724508967168,-0.13140649305505983
25,0.44192228161213143,0.1412682743802754,0.5831905559924069,0.30065400723185604,0.1354507582645036,0.1586686538692446,0.2941194121337482,-0.023217895604741023
26,0.4683296366572813,0.12436218192672674,0.592691818584008,0.34396745473055457,0.2041943063274352,0.13496632401010772,0.33916063033754296,0.06922798231732749
27,0.4991887639156134,0.10529038775817763,0.6044791516737911,0.3938983761574358,0.28095295459393743,0.1113649055546558,0.3923178601485932,0.16958804903928165
28,0.546335116746179,0.08519865648110261,0.6315337732272815,0.4611364602650764,0.37531718252409785,0.08666334047295243,0.4619805229970503,0.2886538420511454
29,0.4622695218718057,0.03284695240843014,0.49511647428023586,0.42942256946337554,0.4634142036156777,0.03076603942399072,0.4941802430396684,0.432648164191687
30,0.5339479185134243,0.025872215799179844,0.5598201343126041,0.5080757027142444,0.5391368829869556,0.020497827270396972,0.5596347102573526,0.5186390557165587
31,0.5265655705409105,0.00873965700795598,0.5353052275488664,0.5178259135329545,0.5302859788924411,0.013640316650861552,0.5439262955433026,0.5166456622415796
