layer,valid_mean,valid_std,valid_ci_upper,valid_ci_lower,invalid_mean,invalid_std,invalid_ci_upper,invalid_ci_lower
0,0.2971996335046632,0.03785402032068814,0.33505365382535135,0.2593456131839751,0.27838508730133377,0.020258230904851512,0.2986433182061853,0.25812685639648225
1,0.3108925202063152,0.025063473720258366,0.33595599392657355,0.28582904648605684,0.2916957742969195,0.03191125609289705,0.32360703038981653,0.2597845182040225
2,0.19201945445754312,0.014357977705523427,0.20637743216306656,0.17766147675201968,0.16409550326565903,0.02189721985384081,0.18599272311949983,0.14219828341181823
3,0.4356557796527813,0.03631438331372412,0.4719701629665054,0.3993413963390572,0.3782394086321195,0.03585240302232361,0.41409181165444314,0.3423870056097959
4,0.4069437576191766,0.019219201382979282,0.4261629590021559,0.38772455623619734,0.39431449939807256,0.027583803930909034,0.4218983033289816,0.3667306954671635
5,0.49804967274139456,0.02480347921528544,0.52285315195668,0.47324619352610914,0.4720960889259974,0.028024456822684476,0.5001205457486819,0.44407163210331296
6,0.4455779936019476,0.03218287707595258,0.4777608706779002,0.41339511652599503,0.41494265774885813,0.033008384909623566,0.4479510426584817,0.3819342728392346
7,0.36519602231391063,0.02889397717471313,0.3940899994886238,0.3363020451391975,0.33397586226463316,0.026635543704494603,0.3606114059691278,0.30734031856013855
8,0.20518720004852717,0.029282706276242087,0.23446990632476924,0.1759044937722851,0.16108313630024593,0.024889431787188877,0.18597256808743481,0.13619370451305704
9,0.42436256888624907,0.023320582521996543,0.4476831514082456,0.40104198636425253,0.3821875379482905,0.029612778937940232,0.41180031688623076,0.3525747590103503
10,0.3466346302589813,0.021381362033131394,0.3680159922921127,0.3252532682258499,0.33289097612102825,0.027226487983511443,0.3601174641045397,0.3056644881375168
11,0.5545781277990961,0.04185108838802503,0.5964292161871211,0.5127270394110711,0.4984159775575002,0.04302361256065294,0.5414395901181531,0.45539236499684727
12,0.2931347645141862,0.029687370782222923,0.32282213529640913,0.26344739373196324,0.24867566878596942,0.03168965351716349,0.28036532230313294,0.21698601526880593
13,0.34708294620761626,0.031970537303107026,0.37905348351072327,0.31511240890450926,0.2941873881220818,0.04150631742731818,0.3356937055494,0.2526810706947636
14,0.26406632731487223,0.02181494680161206,0.2858812741164843,0.24225138051326017,0.25658747643232344,0.023501930974836473,0.28008940740715993,0.23308554545748697
15,0.32161336595361883,0.02856863991014425,0.3501820058637631,0.2930447260434746,0.2936029437681039,0.03588072065004828,0.3294836644181522,0.25772222311805565
16,0.4818446806498936,0.050689958483101503,0.5325346391329951,0.4311547221667921,0.39148159275452293,0.06100523211371496,0.4524868248682379,0.330476360640808
17,0.41561530975552347,0.025418433497121307,0.44103374325264477,0.39019687625840216,0.4447581000129382,0.030207203892116827,0.47496530390505504,0.41455089612082135
18,0.4808560611752721,0.0252102661050826,0.5060663272803547,0.4556457950701895,0.4698621650536855,0.026387073246008228,0.49624923829969375,0.44347509180767725
19,0.31990405394659416,0.016132498657249802,0.33603655260384396,0.30377155528934435,0.31394648949305215,0.018472487916998584,0.3324189774100507,0.2954740015760536
20,0.5195493636193214,0.023584217590702138,0.5431335812100235,0.49596514602861924,0.5356591928005219,0.0320158078693259,0.5676750006698478,0.503643384931196
21,0.6197097220204093,0.021001283121191185,0.6407110051416005,0.5987084388992181,0.6075392750898997,0.024203719283078358,0.6317429943729781,0.5833355558068213
22,0.2385999539068767,0.024111467661010952,0.2627114215678876,0.21448848624586575,0.2645633482436339,0.024854513212865536,0.28941786145649945,0.2397088350307684
23,0.23290223725043335,0.021885890647266953,0.25478812789770033,0.2110163466031664,0.2586169698834419,0.025867894641047988,0.2844848645244899,0.2327490752423939
