layer,valid_mean,valid_std,valid_ci_upper,valid_ci_lower,invalid_mean,invalid_std,invalid_ci_upper,invalid_ci_lower
0,0.4630901513970726,0.00871987065499795,0.47181002205207057,0.45437028074207464,0.45747752492282245,0.01927255667954416,0.4767500816023666,0.4382049682432783
1,0.48770036153725166,0.010332799753359849,0.4980331612906115,0.47736756178389184,0.4727498661126715,0.02095059915797732,0.4937004652706488,0.4517992669546942
2,0.425261308015291,0.024016891873978014,0.449278199889269,0.401244416141313,0.38532873385414845,0.03132638759057368,0.4166551214447221,0.3540023462635748
3,0.8695725723699184,0.016584162055789397,0.8861567344257077,0.852988410314129,0.898691492673128,0.015147419358316773,0.9138389120314447,0.8835440733148112
4,0.9209116570739707,0.02374449979232379,0.9446561568662944,0.897167157281647,0.8727241979504898,0.029977541733053156,0.902701739683543,0.8427466562174367
5,0.9182968125320742,0.024953434656842736,0.9432502471889169,0.8933433778752314,0.8630573888464088,0.035316396770178775,0.8983737856165875,0.8277409920762301
6,0.9190576860806172,0.018673787233937162,0.9377314733145544,0.90038389884668,0.878051248902993,0.0270299757571076,0.9050812246601007,0.8510212731458854
7,0.9225471981257342,0.014119300796488647,0.9366664989222228,0.9084278973292456,0.8862416117237336,0.024503879665922285,0.9107454913896559,0.8617377320578113
8,0.9105790714721846,0.016857547008815477,0.9274366184810001,0.8937215244633692,0.8775261656759331,0.023722725250990256,0.9012488909269234,0.8538034404249428
9,0.9189500504643393,0.014110899928640539,0.9330609503929799,0.9048391505356987,0.8896993157334608,0.01985855308792401,0.9095578688213849,0.8698407626455368
10,0.9067490777104612,0.014744043025815206,0.9214931207362764,0.892005034684646,0.8728667924606933,0.024144896514626823,0.8970116889753201,0.8487218959460665
11,0.9040817181468482,0.010667974207299244,0.9147496923541475,0.893413743939549,0.879350043432024,0.01987734906019672,0.8992273924922207,0.8594726943718274
12,0.903126116069406,0.012421030993648592,0.9155471470630545,0.8907050850757574,0.8777125687297223,0.01917207696562264,0.8968846456953449,0.8585404917640996
13,0.9046471602513766,0.005062620128551725,0.9097097803799283,0.8995845401228248,0.896593479998113,0.010746729605636258,0.9073402096037493,0.8858467503924767
14,0.8864488876407685,0.021001091788808608,0.9074499794295771,0.8654477958519599,0.8395719292957089,0.03147219627769502,0.8710441255734039,0.8080997330180139
15,0.8867697304837107,0.013855811014856655,0.9006255414985673,0.872913919468854,0.8580053545903278,0.023624370469540076,0.8816297250598678,0.8343809841207878
16,0.8871927867854701,0.013296585228981707,0.9004893720144518,0.8738962015564884,0.8590754980447639,0.02331886110608751,0.8823943591508514,0.8357566369386764
17,0.8779786992493726,0.01918857255148532,0.8971672718008579,0.8587901266978872,0.8374338141525732,0.03052750620822779,0.867961320360801,0.8069063079443455
18,0.8790982404947635,0.012518611111783201,0.8916168516065467,0.8665796293829803,0.8509164375906129,0.023719581254669282,0.8746360188452822,0.8271968563359435
19,0.8767383925656691,0.01300943462050643,0.8897478271861755,0.8637289579451627,0.8479525561151924,0.024158800544654125,0.8721113566598465,0.8237937555705382
20,0.8360826673455991,0.021853007097148776,0.8579356744427479,0.8142296602484503,0.7912817368311442,0.034774745170206615,0.8260564820013508,0.7565069916609376
21,0.8086284574860059,0.04836084799112094,0.8569893054771268,0.7602676094948849,0.7069329453671063,0.06677718819367415,0.7737101335607804,0.6401557571734321
22,0.7453612458089551,0.06655854222923334,0.8119197880381884,0.6788027035797218,0.6253792004034788,0.08449283740707507,0.7098720378105539,0.5408863629964038
23,0.7515817803175435,0.07926734233973387,0.8308491226572774,0.6723144379778097,0.5814268276534915,0.10866503106671771,0.6900918587202092,0.4727617965867738
24,0.6887825872175706,0.12220693055034439,0.810989517767915,0.5665756566672262,0.4282393659738666,0.15774433741260646,0.585983703386473,0.2704950285612601
25,0.633807733087094,0.13829270252914666,0.7721004356162406,0.4955150305579474,0.35451046993653956,0.16755087446976877,0.5220613444063084,0.1869595954667708
26,-0.11460104689271237,0.12963671950349245,0.01503567261078008,-0.24423776639620481,-0.3424199945098884,0.14106351942516987,-0.20135647508471854,-0.4834835139350583
27,0.5196283535026299,0.025656963534528884,0.5452853170371588,0.493971389968101,0.4691409008552222,0.03584652600914246,0.5049874268643647,0.43329437484607974
